"医薬品
コード",医薬品名,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計
662350043,グリセリン浣腸「ムネ」１５０　５０％１５０ｍＬ,2357701K9025,168.0 ,1,"3,447 "
620493509,ビサコジル坐剤乳幼児用２ｍｇ「ＪＧ」,2359700J1010,19.3 ,0,"3,251 "
660408146,グリセリン「コザカイ・Ｍ」,2357700X1094,1.1 ,0,"2,060 "
620487801,ケンエーＧ浣腸液５０％　９０ｍＬ,2357701Y1035,117.0 ,1,"1,975 "
620007632,グリセリン浣腸液５０％「マイラン」　１５０ｍＬ,2357701K9149,168.0 ,1,"1,033 "
620487101,グリセリン浣腸液５０％「東豊」　１５０ｍＬ,2357701K9157,142.8 ,0,"1,015 "
662350086,グリセリン「カナダ」（Ｍ）,2357700X1329,1.1 ,0,-
620001405,グリセリン「司生堂」,2357700X1132,1.1 ,0,-
660408152,グリセリン（大和薬品）,2357700X1442,1.1 ,0,-
620487001,グリセリン浣腸液５０％「ムネ」１５０ｍＬ,2357701K9173,168.0 ,1,-
620006656,ビサコジル坐剤乳幼児用２ｍｇ「ＣＨ」,2359700J1010,19.3 ,0,-
620493506,ビサコジル坐剤２ｍｇ「日新」,2359700J1010,19.3 ,0,-
